Mode_of_Transport,Departure_Station,Arrival_Station,Departure_Time,Passenger_Count,Fare_Amount,Trip_Duration_Minutes,Trip_Date,Day_of_Week,Hour,time_of_day,Revenue,Route,Is_Weekend
BUS,North Station,Central,2024-01-01 08:58:00,50.0,25.403856477451566,97.5,2024-01-08,Monday,8,Morning,1270.1928238725782,North Station → Central,False
TRAM,South Point,North Station,2024-01-01 08:59:00,33.0,15.49432857724304,119.0,2024-01-08,Monday,8,Morning,511.31284304902033,South Point → North Station,False
BUS,Central,Central,2024-01-01 09:00:00,91.0,3.751895518241106,143.0,2024-01-08,Monday,9,Morning,341.42249215994065,Central → Central,False
TRAM,South Point,South Point,2024-01-01 09:01:00,7.0,11.79765049293811,92.0,2024-01-08,Monday,9,Morning,82.58355345056677,South Point → South Point,False
TRAIN,Central,West End,2024-01-01 09:02:00,70.0,12.70687993141222,97.5,2024-01-08,Monday,9,Morning,889.4815951988553,Central → West End,False
BUS,South Point,Downtown,2024-01-01 09:03:00,15.0,25.403856477451566,153.0,2024-01-08,Monday,9,Morning,381.0578471617735,South Point → Downtown,False
BUS,Central,West End,2024-01-01 09:04:00,82.0,37.49849812653635,119.0,2024-01-08,Monday,9,Morning,3074.8768463759807,Central → West End,False
FERRY,West End,South Point,2024-01-01 09:05:00,32.0,23.95358650569836,67.0,2024-01-08,Monday,9,Morning,766.5147681823476,West End → South Point,False
BUS,Airport,West End,2024-01-01 09:06:00,75.0,3.36330024763445,108.0,2024-01-08,Monday,9,Morning,252.24751857258374,Airport → West End,False
FERRY,Airport,West End,2024-01-01 09:07:00,20.0,47.91059514891609,87.0,2024-01-08,Monday,9,Morning,958.2119029783217,Airport → West End,False
FERRY, Central ,South Point,2024-01-01 09:08:00,88.0,47.16485379515856,97.5,2024-01-08,Monday,9,Morning,4150.507133973953, Central  → South Point,False
BUS,Airport,Airport,2024-01-01 09:09:00,15.0,39.36688238584622,160.0,2024-01-08,Monday,9,Morning,590.5032357876933,Airport → Airport,False
TRAM,North Station,West End,2024-01-01 09:10:00,48.0,49.57073112742892,21.0,2024-01-08,Monday,9,Morning,2379.395094116588,North Station → West End,False
BUS,South Point,North Station,2024-01-01 09:11:00,71.0,27.45187547361301,10.0,2024-01-08,Monday,9,Morning,1949.0831586265238,South Point → North Station,False
BUS,Downtown,North Station,2024-01-01 09:12:00,21.0,25.403856477451566,151.0,2024-01-09,Tuesday,9,Morning,533.4809860264829,Downtown → North Station,False
FERRY,North Station,airport,2024-01-01 09:13:00,42.0,4.242449510529164,32.0,2024-01-09,Tuesday,9,Morning,178.1828794422249,North Station → airport,False
FERRY,North Station,Airport,2024-01-01 09:14:00,26.0,18.60119703893788,42.0,2024-01-09,Tuesday,9,Morning,483.6311230123849,North Station → Airport,False
TRAIN,Central,Downtown,2024-01-01 09:15:00,14.0,11.65637276633491,123.0,2024-01-09,Tuesday,9,Morning,163.18921872868873,Central → Downtown,False
TRAM,Airport,airport,2024-01-01 09:16:00,57.0,10.19373766464637,41.0,2024-01-09,Tuesday,9,Morning,581.0430468848431,Airport → airport,False
TRAIN,West End,North Station,2024-01-01 09:17:00,37.0,7.469745970187466,119.0,2024-01-09,Tuesday,9,Morning,276.38060089693624,West End → North Station,False
TRAIN,West End,Downtown,2024-01-01 09:18:00,58.0,31.30947525751683,72.0,2024-01-09,Tuesday,9,Morning,1815.9495649359762,West End → Downtown,False
BUS,Downtown,West End,2024-01-01 09:19:00,21.0,39.1754318594916,47.0,2024-01-09,Tuesday,9,Morning,822.6840690493236,Downtown → West End,False
FERRY, Central ,Downtown,2024-01-01 09:20:00,82.0,29.12577077130785,168.0,2024-01-09,Tuesday,9,Morning,2388.3132032472436, Central  → Downtown,False
BUS,South Point,Central,2024-01-01 09:21:00,69.0,7.774654124616379,62.0,2024-01-09,Tuesday,9,Morning,536.4511345985302,South Point → Central,False
BUS,West End,airport,2024-01-01 09:22:00,3.0,40.65062661170681,17.0,2024-01-09,Tuesday,9,Morning,121.95187983512044,West End → airport,False
TRAIN,Downtown,West End,2024-01-01 09:23:00,87.0,31.97975800460456,56.0,2024-01-09,Tuesday,9,Morning,2782.2389464005964,Downtown → West End,False
TRAM,West End,South Point,2024-01-01 09:24:00,90.0,19.71420245328628,62.0,2024-01-09,Tuesday,9,Morning,1774.2782207957653,West End → South Point,False
FERRY, Central ,Airport,2024-01-01 09:25:00,37.0,25.403856477451566,36.0,2024-01-09,Tuesday,9,Morning,939.9426896657079, Central  → Airport,False
TRAM,Central,West End,2024-01-01 09:26:00,88.0,13.36529647252023,109.0,2024-01-09,Tuesday,9,Morning,1176.1460895817802,Central → West End,False
TRAM,Downtown,South Point,2024-01-01 09:27:00,49.0,17.58701432046342,87.0,2024-01-09,Tuesday,9,Morning,861.7637017027076,Downtown → South Point,False
TRAM,Central,Airport,2024-01-01 09:28:00,19.0,45.91554923503352,103.0,2024-01-09,Tuesday,9,Morning,872.3954354656369,Central → Airport,False
TRAIN,Central,Airport,2024-01-01 09:29:00,89.0,14.87997303073531,108.0,2024-01-09,Tuesday,9,Morning,1324.3175997354426,Central → Airport,False
TRAIN,Central,West End,2024-01-01 09:30:00,85.0,23.76441927381786,32.0,2024-01-09,Tuesday,9,Morning,2019.9756382745181,Central → West End,False
BUS,North Station,Downtown,2024-01-01 09:31:00,12.0,44.56198630110273,133.0,2024-01-09,Tuesday,9,Morning,534.7438356132327,North Station → Downtown,False
FERRY,Airport,Downtown,2024-01-01 09:32:00,61.0,25.403856477451566,174.0,2024-01-09,Tuesday,9,Morning,1549.6352451245455,Airport → Downtown,False
FERRY,North Station,Airport,2024-01-01 09:33:00,41.0,3.579059695152786,52.0,2024-01-09,Tuesday,9,Morning,146.74144750126422,North Station → Airport,False
TRAM,Airport,Downtown,2024-01-01 09:34:00,33.0,7.791500691809031,44.0,2024-01-09,Tuesday,9,Morning,257.119522829698,Airport → Downtown,False
BUS,Central,Central,2024-01-01 09:35:00,50.0,0.8881587432098825,101.0,2024-01-09,Tuesday,9,Morning,44.40793716049413,Central → Central,False
FERRY,Downtown,Airport,2024-01-01 09:36:00,48.0,31.73062861634359,118.0,2024-01-10,Wednesday,9,Morning,1523.0701735844923,Downtown → Airport,False
TRAIN, Central ,Airport,2024-01-01 09:37:00,71.0,22.65983455781571,136.0,2024-01-10,Wednesday,9,Morning,1608.8482536049155, Central  → Airport,False
BUS,South Point,South Point,2024-01-01 09:38:00,86.0,7.146605119662639,170.0,2024-01-10,Wednesday,9,Morning,614.608040290987,South Point → South Point,False
BUS,South Point,Downtown,2024-01-01 09:39:00,33.0,47.91773899231013,159.0,2024-01-10,Wednesday,9,Morning,1581.2853867462343,South Point → Downtown,False
BUS,West End,Airport,2024-01-01 09:40:00,81.0,26.71815633530818,141.0,2024-01-10,Wednesday,9,Morning,2164.1706631599627,West End → Airport,False
FERRY,Airport,Central,2024-01-01 09:41:00,24.0,12.47371805858801,97.5,2024-01-10,Wednesday,9,Morning,299.36923340611224,Airport → Central,False
TRAIN,Downtown,South Point,2024-01-01 09:42:00,61.0,25.27987677215802,148.0,2024-01-10,Wednesday,9,Morning,1542.0724831016391,Downtown → South Point,False
BUS,North Station,West End,2024-01-01 09:43:00,48.0,34.14120647038784,80.0,2024-01-10,Wednesday,9,Morning,1638.7779105786165,North Station → West End,False
TRAM,Central,Airport,2024-01-01 09:44:00,98.0,4.273841289691442,35.0,2024-01-10,Wednesday,9,Morning,418.83644638976136,Central → Airport,False
BUS,West End,Central,2024-01-01 09:45:00,28.0,14.09783884487065,123.0,2024-01-10,Wednesday,9,Morning,394.7394876563782,West End → Central,False
FERRY,South Point,North Station,2024-01-01 09:46:00,58.0,40.44479179875768,97.5,2024-01-10,Wednesday,9,Morning,2345.797924327945,South Point → North Station,False
FERRY,North Station,airport,2024-01-01 09:47:00,43.0,23.25341108493173,29.0,2024-01-10,Wednesday,9,Morning,999.8966766520645,North Station → airport,False
FERRY,North Station,Central,2024-01-01 09:48:00,41.0,27.5555685305986,38.0,2024-01-10,Wednesday,9,Morning,1129.7783097545425,North Station → Central,False
TRAIN,Central,South Point,2024-01-01 09:49:00,39.0,21.92439210936873,71.0,2024-01-10,Wednesday,9,Morning,855.0512922653804,Central → South Point,False
BUS,Airport,West End,2024-01-01 09:50:00,86.0,2.673047160828753,156.0,2024-01-10,Wednesday,9,Morning,229.88205583127277,Airport → West End,False
BUS,South Point,North Station,2024-01-01 09:51:00,49.0,8.704614101097718,122.0,2024-01-10,Wednesday,9,Morning,426.5260909537882,South Point → North Station,False
TRAIN,Downtown,Downtown,2024-01-01 09:52:00,17.0,22.5543111177236,77.0,2024-01-10,Wednesday,9,Morning,383.4232890013012,Downtown → Downtown,False
BUS,North Station,Downtown,2024-01-01 09:53:00,98.0,10.85468053769243,30.0,2024-01-10,Wednesday,9,Morning,1063.7586926938582,North Station → Downtown,False
BUS,Central,Central,2024-01-01 09:54:00,48.0,25.403856477451566,152.0,2024-01-10,Wednesday,9,Morning,1219.385110917675,Central → Central,False
BUS,Downtown,South Point,2024-01-01 09:55:00,70.0,42.26065837056527,108.0,2024-01-10,Wednesday,9,Morning,2958.2460859395687,Downtown → South Point,False
TRAIN,Airport,South Point,2024-01-01 09:56:00,98.0,49.06903019362373,14.0,2024-01-10,Wednesday,9,Morning,4808.764958975125,Airport → South Point,False
TRAM,South Point,Downtown,2024-01-01 09:57:00,65.0,39.7605722628386,71.0,2024-01-10,Wednesday,9,Morning,2584.437197084509,South Point → Downtown,False
FERRY,Airport,North Station,2024-01-01 09:58:00,74.0,42.76235362438102,156.0,2024-01-10,Wednesday,9,Morning,3164.4141682041954,Airport → North Station,False
FERRY,North Station,West End,2024-01-01 09:59:00,48.0,12.47786795069375,9.0,2024-01-10,Wednesday,9,Morning,598.9376616333,North Station → West End,False
TRAIN,Downtown,airport,2024-01-01 10:00:00,5.0,48.05103528790339,31.0,2024-01-11,Thursday,10,Morning,240.25517643951696,Downtown → airport,False
BUS,Downtown,Airport,2024-01-01 10:01:00,2.0,10.24782237044471,117.0,2024-01-11,Thursday,10,Morning,20.49564474088942,Downtown → Airport,False
TRAM,Downtown,Airport,2024-01-01 10:02:00,48.0,47.5957756129107,97.5,2024-01-11,Thursday,10,Morning,2284.5972294197136,Downtown → Airport,False
BUS,North Station,airport,2024-01-01 10:03:00,57.0,49.74355505131457,167.0,2024-01-11,Thursday,10,Morning,2835.382637924931,North Station → airport,False
TRAIN,North Station,Downtown,2024-01-01 10:04:00,48.0,35.73027888442941,109.0,2024-01-11,Thursday,10,Morning,1715.0533864526117,North Station → Downtown,False
BUS,Airport,West End,2024-01-01 10:05:00,74.0,49.06661472369518,48.0,2024-01-11,Thursday,10,Morning,3630.9294895534435,Airport → West End,False
TRAIN,West End,South Point,2024-01-01 10:06:00,98.0,28.69221908857163,97.5,2024-01-11,Thursday,10,Morning,2811.8374706800196,West End → South Point,False
TRAM,Airport,Airport,2024-01-01 10:07:00,16.0,13.34731826721647,179.0,2024-01-11,Thursday,10,Morning,213.55709227546353,Airport → Airport,False
TRAM,South Point,Central,2024-01-01 10:08:00,51.0,22.13129634044823,166.0,2024-01-11,Thursday,10,Morning,1128.6961133628597,South Point → Central,False
TRAIN,Central,Central,2024-01-01 10:09:00,39.0,25.403856477451566,99.0,2024-01-11,Thursday,10,Morning,990.7504026206111,Central → Central,False
FERRY,Downtown,Downtown,2024-01-01 10:10:00,86.0,4.117537320337242,97.5,2024-01-11,Thursday,10,Morning,354.10820954900277,Downtown → Downtown,False
TRAIN,West End,South Point,2024-01-01 10:11:00,76.0,25.403856477451566,144.0,2024-01-11,Thursday,10,Morning,1930.693092286319,West End → South Point,False
FERRY,Central,North Station,2024-01-01 10:12:00,88.0,49.06830291973358,136.0,2024-01-11,Thursday,10,Morning,4318.010656936555,Central → North Station,False
BUS,West End,South Point,2024-01-01 10:13:00,40.0,9.910328664294518,91.0,2024-01-11,Thursday,10,Morning,396.4131465717807,West End → South Point,False
BUS,Airport,Central,2024-01-01 10:14:00,38.0,39.73345825627497,116.0,2024-01-11,Thursday,10,Morning,1509.8714137384488,Airport → Central,False
BUS,North Station,Central,2024-01-01 10:15:00,60.0,45.44099029209116,97.5,2024-01-11,Thursday,10,Morning,2726.4594175254697,North Station → Central,False
BUS,Downtown,Airport,2024-01-01 10:16:00,59.0,47.21322884460093,93.0,2024-01-11,Thursday,10,Morning,2785.5805018314545,Downtown → Airport,False
FERRY, Central ,South Point,2024-01-01 10:17:00,10.0,48.02671241806964,70.0,2024-01-11,Thursday,10,Morning,480.26712418069644, Central  → South Point,False
BUS,Central,South Point,2024-01-01 10:18:00,99.0,26.31225211671286,162.0,2024-01-11,Thursday,10,Morning,2604.912959554573,Central → South Point,False
TRAIN,Central,Central,2024-01-01 10:19:00,64.0,48.87674144557943,135.0,2024-01-11,Thursday,10,Morning,3128.1114525170833,Central → Central,False
TRAIN,Central,North Station,2024-01-01 10:20:00,48.0,37.98685525315472,97.5,2024-01-11,Thursday,10,Morning,1823.3690521514268,Central → North Station,False
TRAM,Central,Downtown,2024-01-01 10:21:00,49.0,8.502736093729613,153.0,2024-01-11,Thursday,10,Morning,416.634068592751,Central → Downtown,False
BUS, Central ,Downtown,2024-01-01 10:22:00,64.0,24.10655527016451,97.5,2024-01-11,Thursday,10,Morning,1542.8195372905286, Central  → Downtown,False
FERRY,West End,South Point,2024-01-01 10:23:00,48.0,36.0573931809142,120.0,2024-01-11,Thursday,10,Morning,1730.7548726838813,West End → South Point,False
BUS,Airport,Downtown,2024-01-01 10:24:00,7.0,25.403856477451566,97.5,2024-01-12,Friday,10,Morning,177.82699534216096,Airport → Downtown,False
BUS,Downtown,Central,2024-01-01 10:25:00,21.0,32.21045158566993,42.0,2024-01-12,Friday,10,Morning,676.4194832990685,Downtown → Central,False
BUS,North Station,Central,2024-01-01 10:26:00,20.0,33.49672371280765,147.0,2024-01-12,Friday,10,Morning,669.934474256153,North Station → Central,False
FERRY, Central ,South Point,2024-01-01 10:27:00,26.0,8.55363731852401,114.0,2024-01-12,Friday,10,Morning,222.39457028162428, Central  → South Point,False
TRAIN,Airport,South Point,2024-01-01 10:28:00,68.0,28.47172296641144,97.5,2024-01-12,Friday,10,Morning,1936.077161715978,Airport → South Point,False
TRAIN,Airport,airport,2024-01-01 10:29:00,86.0,38.69553209344108,29.0,2024-01-12,Friday,10,Morning,3327.8157600359327,Airport → airport,False
BUS,North Station,South Point,2024-01-01 10:30:00,15.0,25.19533539452912,25.0,2024-01-12,Friday,10,Morning,377.9300309179368,North Station → South Point,False
TRAM,North Station,North Station,2024-01-01 10:31:00,85.0,1.099104280417317,125.0,2024-01-12,Friday,10,Morning,93.42386383547195,North Station → North Station,False
TRAIN,West End,Downtown,2024-01-01 10:32:00,79.0,25.403856477451566,126.0,2024-01-12,Friday,10,Morning,2006.9046617186737,West End → Downtown,False
TRAIN,South Point,South Point,2024-01-01 10:33:00,86.0,25.403856477451566,97.5,2024-01-12,Friday,10,Morning,2184.7316570608346,South Point → South Point,False
FERRY,Downtown,West End,2024-01-01 10:34:00,92.0,46.34660638737321,74.0,2024-01-12,Friday,10,Morning,4263.887787638335,Downtown → West End,False
TRAM,Central,Airport,2024-01-01 10:35:00,14.0,11.81950059037863,117.0,2024-01-12,Friday,10,Morning,165.47300826530082,Central → Airport,False
FERRY,South Point,West End,2024-01-01 10:36:00,27.0,31.90100259914851,111.0,2024-01-12,Friday,10,Morning,861.3270701770098,South Point → West End,False
FERRY,Airport,Central,2024-01-01 10:37:00,40.0,11.49275559931937,116.0,2024-01-12,Friday,10,Morning,459.71022397277477,Airport → Central,False
FERRY,North Station,Downtown,2024-01-01 10:38:00,58.0,16.42266448814766,97.5,2024-01-12,Friday,10,Morning,952.5145403125643,North Station → Downtown,False
BUS,South Point,South Point,2024-01-01 10:39:00,28.0,42.47808343527345,51.0,2024-01-12,Friday,10,Morning,1189.3863361876565,South Point → South Point,False
FERRY,Downtown,West End,2024-01-01 10:40:00,26.0,36.57864139236237,95.0,2024-01-12,Friday,10,Morning,951.0446762014217,Downtown → West End,False
TRAIN,Airport,Downtown,2024-01-01 10:41:00,63.0,5.222264227003926,97.5,2024-01-12,Friday,10,Morning,329.00264630124735,Airport → Downtown,False
BUS,Central,Central,2024-01-01 10:42:00,66.0,21.72075003882846,153.0,2024-01-12,Friday,10,Morning,1433.5695025626783,Central → Central,False
TRAM,Central,North Station,2024-01-01 10:43:00,25.0,1.943903300440591,108.0,2024-01-12,Friday,10,Morning,48.59758251101478,Central → North Station,False
TRAIN, Central ,Airport,2024-01-01 10:44:00,3.0,24.30406225684894,155.0,2024-01-12,Friday,10,Morning,72.91218677054682, Central  → Airport,False
FERRY,Downtown,Downtown,2024-01-01 10:45:00,72.0,33.29048357920287,44.0,2024-01-12,Friday,10,Morning,2396.914817702607,Downtown → Downtown,False
FERRY,North Station,Downtown,2024-01-01 10:46:00,44.0,6.365879868108502,142.0,2024-01-12,Friday,10,Morning,280.0987141967741,North Station → Downtown,False
FERRY,Central,North Station,2024-01-01 10:47:00,97.0,14.7998044760037,93.0,2024-01-12,Friday,10,Morning,1435.5810341723588,Central → North Station,False
FERRY,Airport,Downtown,2024-01-01 10:48:00,42.0,20.19291296235677,65.0,2024-01-13,Saturday,10,Morning,848.1023444189842,Airport → Downtown,True
BUS,South Point,Central,2024-01-01 10:49:00,48.0,46.01678572047446,9.0,2024-01-13,Saturday,10,Morning,2208.8057145827743,South Point → Central,True
BUS,Airport,Central,2024-01-01 10:50:00,6.0,49.66612326343672,126.0,2024-01-13,Saturday,10,Morning,297.99673958062033,Airport → Central,True
TRAM,West End,North Station,2024-01-01 10:51:00,39.0,2.723109300282985,59.0,2024-01-13,Saturday,10,Morning,106.20126271103642,West End → North Station,True
FERRY,West End,Airport,2024-01-01 10:52:00,52.0,38.1698922130219,41.0,2024-01-13,Saturday,10,Morning,1984.8343950771389,West End → Airport,True
TRAIN,Downtown,South Point,2024-01-01 10:53:00,23.0,18.90034128691599,60.0,2024-01-13,Saturday,10,Morning,434.70784959906774,Downtown → South Point,True
BUS,North Station,West End,2024-01-01 10:54:00,89.0,25.403856477451566,106.0,2024-01-13,Saturday,10,Morning,2260.9432264931893,North Station → West End,True
FERRY,West End,South Point,2024-01-01 10:55:00,50.0,37.83611618067762,97.5,2024-01-13,Saturday,10,Morning,1891.8058090338811,West End → South Point,True
TRAM,Central,Downtown,2024-01-01 10:56:00,43.0,45.96210839119773,77.0,2024-01-13,Saturday,10,Morning,1976.3706608215025,Central → Downtown,True
TRAM,Airport,West End,2024-01-01 10:57:00,19.0,47.57096542787615,63.0,2024-01-13,Saturday,10,Morning,903.8483431296469,Airport → West End,True
FERRY,Airport,North Station,2024-01-01 10:58:00,69.0,29.06756800889688,6.0,2024-01-13,Saturday,10,Morning,2005.6621926138848,Airport → North Station,True
TRAM,Downtown,North Station,2024-01-01 10:59:00,51.0,18.17749738537489,108.0,2024-01-13,Saturday,10,Morning,927.0523666541193,Downtown → North Station,True
FERRY,South Point,Airport,2024-01-01 11:00:00,11.0,39.48367975000957,55.0,2024-01-13,Saturday,11,Morning,434.3204772501053,South Point → Airport,True
TRAIN,Downtown,West End,2024-01-01 11:01:00,12.0,12.92456847148386,34.0,2024-01-13,Saturday,11,Morning,155.09482165780634,Downtown → West End,True
FERRY,South Point,Central,2024-01-01 11:02:00,74.0,28.42166442725913,15.0,2024-01-13,Saturday,11,Morning,2103.2031676171755,South Point → Central,True
FERRY,Downtown,West End,2024-01-01 11:03:00,8.0,18.24963384548122,112.0,2024-01-13,Saturday,11,Morning,145.99707076384976,Downtown → West End,True
FERRY,Downtown,Downtown,2024-01-01 11:04:00,24.0,33.00323814853986,80.0,2024-01-13,Saturday,11,Morning,792.0777155649566,Downtown → Downtown,True
TRAM,Downtown,Central,2024-01-01 11:05:00,92.0,12.39974618822859,97.5,2024-01-13,Saturday,11,Morning,1140.7766493170302,Downtown → Central,True
FERRY,South Point,North Station,2024-01-01 11:06:00,41.0,9.983850813873875,97.5,2024-01-13,Saturday,11,Morning,409.3378833688289,South Point → North Station,True
TRAM,South Point,West End,2024-01-01 11:07:00,36.0,25.403856477451566,127.0,2024-01-13,Saturday,11,Morning,914.5388331882564,South Point → West End,True
BUS,Downtown,South Point,2024-01-01 11:08:00,85.0,5.539282306002076,97.5,2024-01-13,Saturday,11,Morning,470.83899601017646,Downtown → South Point,True
BUS,West End,Airport,2024-01-01 11:09:00,72.0,25.54491643287912,126.0,2024-01-13,Saturday,11,Morning,1839.2339831672966,West End → Airport,True
FERRY,North Station,airport,2024-01-01 11:10:00,55.0,11.43221275666894,98.0,2024-01-13,Saturday,11,Morning,628.7717016167917,North Station → airport,True
FERRY,North Station,Airport,2024-01-01 11:11:00,9.0,2.427033184620539,107.0,2024-01-13,Saturday,11,Morning,21.843298661584853,North Station → Airport,True
BUS,North Station,Downtown,2024-01-01 11:12:00,47.0,2.282931505425606,166.0,2024-01-14,Sunday,11,Morning,107.29778075500347,North Station → Downtown,True
FERRY,South Point,South Point,2024-01-01 11:13:00,15.0,9.173477719238454,35.0,2024-01-14,Sunday,11,Morning,137.6021657885768,South Point → South Point,True
FERRY,South Point,West End,2024-01-01 11:14:00,48.0,43.40513254804701,56.0,2024-01-14,Sunday,11,Morning,2083.4463623062566,South Point → West End,True
BUS,West End,West End,2024-01-01 11:15:00,82.0,14.48269782686282,93.0,2024-01-14,Sunday,11,Morning,1187.5812218027513,West End → West End,True
BUS,North Station,South Point,2024-01-01 11:16:00,48.0,47.54772894347714,80.0,2024-01-14,Sunday,11,Morning,2282.290989286903,North Station → South Point,True
TRAIN,North Station,West End,2024-01-01 11:17:00,60.0,25.403856477451566,133.0,2024-01-14,Sunday,11,Morning,1524.231388647094,North Station → West End,True
FERRY,Downtown,Downtown,2024-01-01 11:18:00,84.0,22.11240239355392,26.0,2024-01-14,Sunday,11,Morning,1857.4418010585293,Downtown → Downtown,True
FERRY,South Point,Central,2024-01-01 11:19:00,70.0,29.214397316138,44.0,2024-01-14,Sunday,11,Morning,2045.0078121296601,South Point → Central,True
TRAIN,North Station,Downtown,2024-01-01 11:20:00,12.0,26.07657006870025,105.0,2024-01-14,Sunday,11,Morning,312.918840824403,North Station → Downtown,True
TRAIN,Airport,Airport,2024-01-01 11:21:00,2.0,38.05942456098759,115.0,2024-01-14,Sunday,11,Morning,76.11884912197517,Airport → Airport,True
FERRY,West End,Downtown,2024-01-01 11:22:00,7.0,14.48355526565619,133.0,2024-01-14,Sunday,11,Morning,101.38488685959332,West End → Downtown,True
FERRY,Airport,Airport,2024-01-01 11:23:00,80.0,25.403856477451566,69.0,2024-01-14,Sunday,11,Morning,2032.3085181961253,Airport → Airport,True
TRAM,Airport,West End,2024-01-01 11:24:00,3.0,44.75766797539591,97.5,2024-01-14,Sunday,11,Morning,134.27300392618773,Airport → West End,True
TRAIN,West End,Central,2024-01-01 11:25:00,3.0,47.34959740094507,153.0,2024-01-14,Sunday,11,Morning,142.04879220283522,West End → Central,True
BUS,Airport,West End,2024-01-01 11:26:00,27.0,44.68163226058049,83.0,2024-01-14,Sunday,11,Morning,1206.4040710356733,Airport → West End,True
FERRY,North Station,North Station,2024-01-01 11:27:00,40.0,21.26267570088702,26.0,2024-01-14,Sunday,11,Morning,850.5070280354807,North Station → North Station,True
FERRY,South Point,West End,2024-01-01 11:28:00,33.0,39.12809239884064,170.0,2024-01-14,Sunday,11,Morning,1291.2270491617412,South Point → West End,True
BUS,West End,Airport,2024-01-01 11:29:00,92.0,24.07861879840439,103.0,2024-01-14,Sunday,11,Morning,2215.2329294532037,West End → Airport,True
TRAIN,Downtown,West End,2024-01-01 11:30:00,1.0,25.12822268123206,12.0,2024-01-14,Sunday,11,Morning,25.12822268123206,Downtown → West End,True
BUS,Airport,West End,2024-01-01 11:31:00,8.0,10.63166539833556,179.0,2024-01-14,Sunday,11,Morning,85.05332318668448,Airport → West End,True
TRAIN,West End,Central,2024-01-01 11:32:00,32.0,29.76095001129656,21.0,2024-01-14,Sunday,11,Morning,952.35040036149,West End → Central,True
TRAM,Central,West End,2024-01-01 11:33:00,48.0,9.713726938790723,21.0,2024-01-14,Sunday,11,Morning,466.2588930619547,Central → West End,True
BUS,Central,Central,2024-01-01 11:34:00,48.0,16.91245260382609,94.0,2024-01-14,Sunday,11,Morning,811.7977249836523,Central → Central,True
BUS,South Point,South Point,2024-01-01 11:35:00,94.0,42.82399498018679,145.0,2024-01-14,Sunday,11,Morning,4025.4555281375583,South Point → South Point,True
FERRY,North Station,North Station,2024-01-01 11:36:00,70.0,10.75025255593733,149.0,2024-01-15,Monday,11,Morning,752.517678915613,North Station → North Station,False
FERRY,South Point,Central,2024-01-01 11:37:00,19.0,4.022335116084925,170.0,2024-01-15,Monday,11,Morning,76.42436720561358,South Point → Central,False
BUS,South Point,Airport,2024-01-01 11:38:00,32.0,25.403856477451566,85.0,2024-01-15,Monday,11,Morning,812.9234072784501,South Point → Airport,False
BUS,South Point,South Point,2024-01-01 11:39:00,9.0,47.06883376490384,82.0,2024-01-15,Monday,11,Morning,423.6195038841346,South Point → South Point,False
FERRY,South Point,Central,2024-01-01 11:40:00,12.0,25.59256167911081,177.0,2024-01-15,Monday,11,Morning,307.1107401493297,South Point → Central,False
FERRY,Downtown,Central,2024-01-01 11:41:00,11.0,20.76589755494241,10.0,2024-01-15,Monday,11,Morning,228.4248731043665,Downtown → Central,False
FERRY,Downtown,North Station,2024-01-01 11:42:00,46.0,40.63848975989196,167.0,2024-01-15,Monday,11,Morning,1869.3705289550303,Downtown → North Station,False
TRAM,West End,Airport,2024-01-01 11:43:00,16.0,25.403856477451566,114.0,2024-01-15,Monday,11,Morning,406.46170363922505,West End → Airport,False
TRAIN,Central,Downtown,2024-01-01 11:44:00,48.0,16.94345613922243,18.0,2024-01-15,Monday,11,Morning,813.2858946826766,Central → Downtown,False
BUS,South Point,Downtown,2024-01-01 11:45:00,48.0,34.83409384495286,97.5,2024-01-15,Monday,11,Morning,1672.0365045577373,South Point → Downtown,False
TRAM,West End,Central,2024-01-01 11:46:00,21.0,38.67057938466839,147.0,2024-01-15,Monday,11,Morning,812.0821670780363,West End → Central,False
FERRY,Central,West End,2024-01-01 11:47:00,30.0,32.90520899986475,58.0,2024-01-15,Monday,11,Morning,987.1562699959425,Central → West End,False
BUS, Central ,Airport,2024-01-01 11:48:00,13.0,8.003956202604918,97.5,2024-01-15,Monday,11,Morning,104.05143063386393, Central  → Airport,False
TRAM, Central ,South Point,2024-01-01 11:49:00,34.0,43.85621263409432,17.0,2024-01-15,Monday,11,Morning,1491.1112295592068, Central  → South Point,False
TRAIN,Downtown,West End,2024-01-01 11:50:00,4.0,27.18518036043243,163.0,2024-01-15,Monday,11,Morning,108.74072144172972,Downtown → West End,False
TRAM,Airport,West End,2024-01-01 11:51:00,28.0,14.48238510531518,167.0,2024-01-15,Monday,11,Morning,405.50678294882505,Airport → West End,False
TRAIN,Central,Airport,2024-01-01 11:52:00,95.0,21.54879517916585,64.0,2024-01-15,Monday,11,Morning,2047.1355420207558,Central → Airport,False
FERRY,Airport,Central,2024-01-01 11:53:00,59.0,2.359768974745915,10.0,2024-01-15,Monday,11,Morning,139.226369510009,Airport → Central,False
TRAIN,North Station,Central,2024-01-01 11:54:00,27.0,25.403856477451566,62.0,2024-01-15,Monday,11,Morning,685.9041248911923,North Station → Central,False
BUS, Central ,Central,2024-01-01 11:55:00,69.0,38.39456415053511,53.0,2024-01-15,Monday,11,Morning,2649.2249263869226, Central  → Central,False
FERRY,Airport,Central,2024-01-01 11:56:00,25.0,0.5005759203906239,155.0,2024-01-15,Monday,11,Morning,12.514398009765598,Airport → Central,False
